Year	Location	State	Entry	Grainyield	Testweight	Plantheight
2007	Kishorganj	ND	00S0292-14	50.4366667	62.1333617	74.16666675
2007	Kishorganj	ND	SD3943	50.375	63.1289367	84.99999993
2007	Kishorganj	ND	06MSP18	50.14	61.21364	75.83333322
2007	Kishorganj	ND	SD3948	50.0933333	63.745245	85.83333329
2007	Kishorganj	ND	CA905-750	49.6216667	64.39948	83.33333346
2007	Kishorganj	ND	NDSW0601	49.555	60.8912633	83.33333346
2007	Kishorganj	ND	ND05/1-1	48.69	63.1004917	85.83333329
2007	Kishorganj	ND	MT0415	48.28	61.9626917	87.50000001
2007	Kishorganj	ND	BW873	48.135	61.298975	91.66666655
2007	Kishorganj	ND	WA008013	47.9233333	61.89632	98.33333343
2007	Kishorganj	ND	NDSW0449	47.3683333	61.4317183	86.66666665
2007	Kishorganj	ND	06MSP3	42.9483333	61.32742	69.16666659
2007	Kishorganj	ND	BW362	41.4766667	62.2755867	96.66666671
2007	Kishorganj	ND	Chris	40.09	61.04297	105.8333334
2007	Kishorganj	ND	ES95	40.025	58.2079517	99.9999999
2007	Kishorganj	ND	Keene	39.6166667	62.5410733	98.33333343
2007	Kishorganj	ND	BZ903-513W	39.5633333	62.1618067	83.33333346
2007	Kishorganj	ND	MT0516	39.0066667	60.7680017	81.66666674
2007	Kishorganj	ND	BW357	38.2233333	63.290125	94.99999999
2007	Kishorganj	ND	Marquis	33.5266667	60.98608	108.3333332
2007	Rajshahi	MN	00S0291-3	75.6	62	68.6
2007	Rajshahi	MN	MN03196	72.9	64	73.7
2007	Rajshahi	MN	SD3942	72.1	63.3	68.6
2007	Rajshahi	MN	00S0211-29-4	70.8	62.5	67.7
2007	Rajshahi	MN	ND04/3-20	70.4	62	90.2
2007	Rajshahi	MN	NDSW0430	70.2	63.5	71.1
2007	Rajshahi	MN	MN03308-4	70.1	62.6	76.2
2007	Rajshahi	MN	NDSW0601	69.6	61.9	72
2007	Rajshahi	MN	00S0292-14	68.6	62.9	65.2
2007	Rajshahi	MN	NDSW0481	68.5	61.8	81.3
2007	Rajshahi	MN	06MSP18	68.4	62	71.1
2007	Rajshahi	MN	ND04/3-21	67.9	64.2	77.1
2007	Rajshahi	MN	NDSW0449	67.8	62.9	76.2
2007	Rajshahi	MN	01S0042-10	67.3	63	63.5
2007	Rajshahi	MN	ND05/1-1	67.3	63.2	75.4
2007	Rajshahi	MN	MN03358-4	67.2	62.3	73.7
2007	Rajshahi	MN	BW873	66.4	62.2	82.1
2007	Rajshahi	MN	Verde	65.7	61.8	68.6
2007	Rajshahi	MN	ND05/1-3	65.5	62.2	70.3
2007	Rajshahi	MN	BW357	65.3	63.9	91.4
2007	Rajshahi	MN	SD3944	65.3	62.9	78.8
2007	Rajshahi	MN	SD3943	64.9	63.5	72
2007	Rajshahi	MN	MN02255	64.5	62.6	68.6
2007	Rajshahi	MN	SD3956	64.4	63.3	80
2007	Rajshahi	MN	06MSP3	64.1	62.2	64.3
2007	Rajshahi	MN	WA008013	64	63.3	91.4
2007	Rajshahi	MN	ND05/1-2	63.8	63	83
2007	Rajshahi	MN	CA905-750	63.5	64	74.5
2007	Rajshahi	MN	CA905-749	63.4	63.9	72.8
2007	Rajshahi	MN	CA905-776	61.9	60.6	70.3
2007	Rajshahi	MN	SD3948	61.9	63.7	76.2
2007	Rajshahi	MN	MN03119-4	61.7	63.2	70.3
2007	Rajshahi	MN	2375	59.7	62.7	71.9
2007	Rajshahi	MN	MT0415	59.6	62.7	76.2
2007	Rajshahi	MN	BW362	58	63.2	87.2
2007	Rajshahi	MN	Keene	55.7	61.9	87.2
2007	Rajshahi	MN	ES95	52.6	59.2	84.7
2007	Rajshahi	MN	MT0516	49.6	60.3	69.9
2007	Rajshahi	MN	BZ903-513W	47.5	62.3	72
2007	Rajshahi	MN	Chris	45.7	61.3	93.1
2007	Rajshahi	MN	Marquis	44.3	61.2	94
2007	MIT	WY	BZ903-513W	119.895	58.991	94.667
2007	MIT	WY	00S0211-29-4	112.485	59.404	90
2007	MIT	WY	MN03358-4	109.592	60.706	93.667
2007	MIT	WY	MT0516	108.371	60.043	100.667
2007	MIT	WY	MT0415	107.806	59.954	100.667
2007	MIT	WY	06MSP18	105.937	59.348	93
2007	MIT	WY	SD3943	105.427	58.62	92.333
2007	MIT	WY	00S0292-14	105.372	59.245	77.667
2007	MIT	WY	MN03196	104.312	57.924	92
2007	MIT	WY	SD3942	104.034	58.281	90
2007	MIT	WY	06MSP3	103.813	59.348	88.333
2007	MIT	WY	01S0042-10	103.728	60.485	84
2007	MIT	WY	ND05/1-3	102.193	57.694	95.667
2007	MIT	WY	00S0291-3	101.145	59.865	92.333
2007	MIT	WY	MN03119-4	101.103	60.706	93.667
2007	MIT	WY	MN02255	98.976	59.329	92
2007	MIT	WY	CA905-750	98.936	59.372	96.667
2007	MIT	WY	WA008013	97.642	59.188	102.667
2007	MIT	WY	CA905-749	97.555	58.958	86.667
2007	MIT	WY	SD3944	97.213	57.445	90
2007	MIT	WY	Verde	96.015	59.273	96.333
2007	MIT	WY	SD3956	95.292	60.777	96.333
2007	MIT	WY	NDSW0430	93.776	59.602	92.333
2007	MIT	WY	NDSW0601	93.224	57.154	88.667
2007	MIT	WY	Keene	93.097	59.917	116.333
2007	MIT	WY	2375	91.336	57.577	97.333
2007	MIT	WY	ND05/1-2	91.273	59.456	108.667
2007	MIT	WY	NDSW0481	91.011	59.343	97
2007	MIT	WY	ND04/3-21	90.892	59.569	94.333
2007	MIT	WY	MN03308-4	90.182	59.917	92.333
2007	MIT	WY	CA905-776	89.62	57.464	89.333
2007	MIT	WY	ND05/1-1	89.519	60.683	93.667
2007	MIT	WY	ND04/3-20	87.88	58.065	100.667
2007	MIT	WY	BW873	85.145	58.949	105
2007	MIT	WY	NDSW0449	84.731	59.832	103.667
2007	MIT	WY	SD3948	84.545	60.885	89.667
2007	MIT	WY	BW357	80.211	59.639	106.667
2007	MIT	WY	BW362	79.186	57.595	105.333
2007	MIT	WY	ES95	78.761	58.206	103.333
2007	MIT	WY	Chris	64.256	56.933	113.333
2007	MIT	WY	Marquis	49.054	56.298	116
2007	Dinajpur	ND	SD3944	60.1072125	60.2559917	68.58
2007	Dinajpur	ND	SD3942	57.1715467	60.445625	63.5
2007	Dinajpur	ND	ND04/3-20	56.66732	57.8760933	81.28
2007	Dinajpur	ND	ND05/1-1	56.2770292	60.388735	72.81333342
2007	Dinajpur	ND	SD3943	56.2770292	60.502515	66.04
2007	Dinajpur	ND	06MSP18	54.092855	57.57268	68.58
2007	Dinajpur	ND	ND05/1-3	52.6504758	58.454475	76.2
2007	Dinajpur	ND	00S0211-29-4	51.9741333	57.85713	65.19333342
2007	Dinajpur	ND	MN03308-4	51.72202	58.5587733	70.27333342
2007	Dinajpur	ND	NDSW0430	51.3753642	59.67761	70.27333342
2007	Dinajpur	ND	ND04/3-21	50.2772167	60.1232483	68.58
2007	Dinajpur	ND	ND05/1-2	50.2747925	59.27938	75.35333342
2007	Dinajpur	ND	00S0292-14	50.0760108	57.885575	64.34666658
2007	Dinajpur	ND	00S0291-3	49.583905	57.3925283	64.34666658
